,1.bicycle,,,2.bonsai,,,3.counter,,,4.flowers,,,5.garden,,,6.kitchen,,,7.room,,,8.stump,,,9.treehill,,,,,,,,,,,,,
Outputs,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR↑,SSIM↑,LPIPS↓,PSNR,SSIM,LPIPS,,,,,,,,
Rendered JPEG 30,0.670,0.868,0.838,0.647,0.801,0.817,0.887,0.698,0.676,,,,,,,,,,,,,,,,,,,,,,,,,,JPEG 10,22.140,0.501,0.401
Rendered JPEG 10,0.550,0.615,0.747,0.483,0.671,0.673,0.805,0.501,0.504,,,,,,,,,,,,,,,,,,,,,,,,,,HEVC 27,21.992,0.554,0.29
,,,,,,,,,,,,,,,,Outputs,PSNR,SSIM,LPIPS,,,,,,,PSNR,SSIM,LPIPS,,,,,,,HEVC 32,22.126,0.486,0.413
,,,,,,,bicycle,flowers,garden,stump,treehill,,,,,JPEG 90,35.835,0.960,0.012,,,,,,HEVC 27,30.781,0.871,0.099,,,,,,,HEVC 37,x,x,x
category,garden,bonsai,counter,kithchen,room,,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,,,,,JPEG 70,31.287,0.906,0.046,,,,,,HEVC 32,28.335,0.777,0.211,,,,,,,HEVC 42,x,x,x
,SSIM↑,SSIM↑,SSIM↑,SSIM↑,SSIM↑,,0.767,0.729,0.918,0.814,0.758,,,,,JPEG 50,29.679,0.871,0.084,,,,,,HEVC 37,25.731,0.672,0.345,,,,,,,,,,
JPEG 90,0.951,0.964,0.953,0.951,0.958,0.955,0.967,0.969,0.951,0.962,0.963,0.962,,,,JPEG 30,28.070,0.825,0.149,,,,,,HEVC 42,24.022,0.580,0.455,QP,ΔPSNR (↓),ΔSSIM (↓),ΔLPIPS (↑),,,,,,
JPEG 70,0.883,0.921,0.905,0.884,0.922,0.903,0.909,0.914,0.883,0.910,0.903,0.904,,,,JPEG 10,24.462,0.673,0.345,QF,ΔPSNR (↓),ΔSSIM (↓),ΔLPIPS (↑),,Rendered HEVC 27,25.527,0.752,0.195,27 ,5.253 ,0.119 ,0.096 ,,,,,,
JPEG 50,0.840,0.889,0.875,0.838,0.898,0.868,0.871,0.877,0.840,0.885,0.864,0.867,,,,Rendered JPEG 90,27.027,0.846,0.097,90 ,8.807 ,0.114 ,0.086 ,,Rendered HEVC 32,23.782,0.652,0.326,32 ,4.553 ,0.125 ,0.115 ,,,,,,
JPEG 30,0.789,0.847,0.837,0.781,0.865,0.824,0.827,0.831,0.789,0.826,0.818,0.818,,,,Rendered JPEG 70,26.454,0.821,0.134,70 ,4.833 ,0.084 ,0.088 ,,Rendered HEVC 37,21.542,0.543,0.435,37 ,4.189 ,0.129 ,0.091 ,,,,,,
JPEG 10,0.625,0.600,0.712,0.636,0.760,0.667,0.678,0.695,0.625,0.661,0.693,0.670,,,,Rendered JPEG 50,25.624,0.787,0.173,50 ,4.055 ,0.083 ,0.089 ,,Rendered HEVC 42,20.420,0.481,0.557,42 ,3.603 ,0.098 ,0.102 ,,,,,,
Rendered JPEG 90,0.905,0.937,0.900,0.935,0.925,0.920,0.755,0.722,0.905,0.789,0.747,0.784,,,,Rendered JPEG 30,25.366,0.767,0.218,30 ,2.704 ,0.058 ,0.069 ,,,,,,,,,,,,,,,
Rendered JPEG 70,0.869,0.907,0.877,0.900,0.915,0.894,0.735,0.704,0.869,0.761,0.724,0.759,,,,Rendered JPEG 10,22.611,0.617,0.367,10 ,1.852 ,0.057 ,0.022 ,,,,,,,,,,,,,,,
Rendered JPEG 50,0.842,0.900,0.863,0.867,0.901,0.875,0.713,0.691,0.842,0.642,0.704,0.718,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendered JPEG 30,0.801,0.868,0.838,0.817,0.887,0.842,0.670,0.647,0.801,0.698,0.676,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,
Rendered JPEG 10,0.671,0.615,0.747,0.673,0.805,0.702,0.550,0.483,0.671,0.501,0.504,0.542,,,,,,,,QF,JPEG PSNR,JPEG SSIM,JPEG LPIPS,RenderedPSNR,Rendered SSIM,Rendered LPIPS,,,QP,HEVC PSNR,HEVC SSIM,HEVC LPIPS,RenderedPSNR,Rendered SSIM,Rendered LPIPS,,,
